"编号","建议用字","对应华语"
271,蕃薯,地瓜
272,甜粿,年糕
273,早顿(za deng ),早点
274,姜母,老姜
275,肉酥,肉松
276,凊饭,冷饭
277,李仔,李子
278,山芋、芋仔,芋头
279,油炸粿,油条
280,菜花,花椰菜
281,蒜仔,青蒜
282,金瓜,南瓜
283,乌糖,红糖
284,喇达,红萝卜
285,芳瓜,香瓜
286,烘肉,烤肉
287,茶,茶叶
288,烧酒,酒
289,梨仔,梨子
290,卵包,荷包蛋
291,鸡卵糕,蛋糕
292,麦仔茶,麦茶
293,泔糜,稀饭
294,海菜,紫菜
295,菜瓜,丝瓜
296,乌醋,黑醋
297,食秀,零食
298,王梨,凤梨
299,柑仔,橘子
300,扁食(bian xi),馄饨
301,豆油(dao you),酱油
302,马薯豆,蚕豆
303,菜脯(cai bo ),萝卜干
304,顶面（ding min ）,上面
305,的（诶）,的
306,恁 (lin),您
307,水,漂亮
308,会用（通）、会使,可以
309,叨,哪
310,俗 (xiou),便宜
311,丑（歹看）(pai kua),丑
312,毋闲(mo ani),忙
313,脑袋（头壳）-(ta ka),脑袋
314,糙耳聋(cao hi lang ),聋子
315,巧、伶俐,聪明
316,讲、共 (gong),讲
317,聊天、讲古,聊天
318,白贼话(ba ca wei ),撒谎
319,开钱 ( kai ji ),花钱
320,顶（某些情况下）,上
321,落（某些情况下）,下
322,艰苦,艰难/难受
323,休困（hiou  kun ）,休息
324,点动（dingdang）,动来动去
325,喜欢、喜（ga yi 和yan）,喜欢
326,家（gei、dao）、厝（cuo）,家
327,联络、联系,联系
328,鬥阵,相处
329,无闲,没空
330,惯势,习惯
331,代誌,事情
332,小可,稍微
333,啥侬,谁
334,古锥,可爱
335,后壁,后面
336,迄个,那个
337,即个,这些
338,费神,劳驾
339,顺路,沿着这条路
340,头前,前面
341,无偌远,没多远
342,借问,请问
343,伫叨位、伫叨落,在哪儿
344,安怎行,怎么走
345,叨一路车,哪路车
346,行偌久,走多久
347,外口,外面
348,里底、内面,里面
349,对无,对不对
350,好呣,好吗
351,甲,和/跟
352,恁,您/你
353,应该,应该
354,感觉,感觉
355,咧,在
356,做虾米,干什么
357,较叨位,到哪里
358,烦恼,担心
359,讲,告诉
360,有伫无,在家吗
361,倒来,回来
362,搁要,还要
363,有影、诚实,真的/确实
364,有无,有没有
365,安怎办,怎么办
366,咧,呢
367,安怎,怎么
368,互阮、甲阮,给我/让我
369,互,给/让
370,费神,麻烦
371,真侪,很多
372,摕（tei）,拿
373,加工,费功夫
374,叨位,哪个地方
375,行,走
376,吓,是的
377,叫、叫做,叫
378,多谢,谢谢
379,参甲,一块儿
380,超工,特地
381,甲汝,帮你
382,对倒落行,从哪儿走
383,缀阮行/甲阮行,跟我走
384,啥人,哪位
385,紧,快点儿
386,入来,进来
387,真久,很久
388,看着汝,看到你
389,么代,干吗
390,行行,出去走走
391,有噢,有啊
392,紧,快
393,会晓,会
394,相借问,打招呼
395,行行的,走走
396,定定咧,经常
397,颠倒,倒置
398,即辈人,这一辈人
399,若是,如果是
400,时行,流行
401,四叉路口,十字路口
402,拄好,正好
403,正手边,右边
404,向,朝
405,借问一下,请问一下
406,约,猜
407,利便,方便
408,着常来,得常来
409,咱,咱们
410,铁佗,玩耍
411,搬戏,演戏
412,小等一下、小等仔,稍等
413,即个,这位
414,几点,几点
415,几号,几号
