序号,注音,语料统一用字,其他可接受的写法,辞典将来用字参考,普通话,优先级
171,sen2zau1ngit5,晨朝日,,,明天,171
172,hang2,行,,,走,172
173,zu1mat6,周末,,,周末,173
174,ge4an3e2,个咹欸,,,那么,174
175,go4,过,,,过,175
176,dui4,对,,,对,176
177,sa1ki1,社区,,,社区,177
178,diam4,店,,,店,178
179,pit6soi4,比赛,,,比赛,179
180,sien4sin4,先生,,,老师,180
181,mui1ci4,每次,,,每次,181
182,siau3si2zet5,小时节,,,小时候,182
183,heu4sang1ngin2,后生人,,,年轻人,183
184,gê3vuk1ha1,𠮶屋下,,,这家,184
185,ngiong4bien1ngiong4,让边样,,,怎么样,185
186,tshem2,寻,,,找,186
187,iu1dit5,有滴,,,有点,187
188,pien4ngi2,便宜,,,便宜,188
189,heu4,后,,,后,189
190,bong1,帮,,,帮,190
191,ci4ha1,试下,,,试试,191
192,gin3loi2gin3,紧来紧,,,越来越,192
193,van2,完,,,完,193
194,hau4kon4,好看,,,好看,194
195,ge3e2,𠮶欸,,,这里,195
196,gi2,姖,,,她,196
197,set6 / cot5,食,啜,,喝,197
198,sin1sien1,新鲜,,,新鲜,198
199,im1lok6,音乐,,,音乐,199
200,tien1si2,天时,,,天气,200
201,gau3,搞,,,搞,201
202,na2,拿,,,拿,202
203,a1ba1,阿爸,,,爸爸。,203
204,a1me1,阿姆,,,妈妈。,204
205,a1gung1,阿公,,,爷爷/外公。,205
206,a1po4,阿婆,,,奶奶/外婆。,206
207,a1go1,阿哥,,,哥哥。,207
208,a1ji3,阿姊,,,姐姐。,208
209,lo3thai1,老弟,,,弟弟。,209
210,lo3moi4,老妹,,,妹妹。,210
211,se4ngin4,细人,,,小孩,211
212,sa4sa4,侪侪,,,男人。,212
213,fu4ngin4ga1,妇人家,,,女人。,213
214,oi1ze2,娭姐,,,祖母,214
215,da1da1,爹爹,,,祖父,215
216,oi1li1,娭哩,,,母亲,216
217,ya2li1,爷哩,,,父亲,217
218,bak6me1,伯娓,,,伯母,218
219,sin1me1 / sang1me1,新娓、生娓,,,媳妇,219
220,lai2,𡥧,,,儿子,220
221,lai4e3,𡥧欸,,,儿子,221
222,it5tin4,一定,,,一定,222
223,m2sau3,唔少,,,不少,223
224,it5ha1,一下,,,一下,224
225,koi1,开,,,开,225
226,pak5,拍,,,拍,226
227,den1ngin2,等人,,,们,227
228,hau4go3,效果,,,效果,228
229,iung2i4,容易,,,容易,229
230,si4cong2,市场,,,市场,230
231,zon3loi2,转来,,,回来,231
232,hau4set6,好食,,,好吃,232
233,zau1sen2theu2,朝晨头,,,早上,233
234,ki4dit5,亟滴,,,赶紧,234
235,ngiat6,月,,,月,235
236,hok6,学,,,学,236
237,kwat5tung4,活动,,,活动,237
238,iu1ngin2,有人,,,有人,238
239,ti4fong1,地方,,,地方,239
240,mi1tien1,每天,,,每天,240
241,sam1,衫,,,衣服,241
242,gau4,教,,,教,242
243,kiu4ngien2,旧年,,,去年,243
244,si2,时,,,时,244
245,zung4i4,中意,,,喜欢,245
246,ngim3an3,恁多,,,很多,246
247,biong4,放,,,放,247
248,ha1,下,,,下,248
249,yang2,穰、攘,,,热闹,249
250,ngiat6nau4,热闹,,,热闹,250
251,biu1go1 / fu3go4,不过,,,但、但是、不过,251
252,zi4nen3,智能,,,智能,252
253,cun1,村,,,村,253
254,theu4fu4,豆腐,,,豆腐,254
255,gê3ngin2,𠮶儿,,,这儿,255
256,van2zak5,完只,,,整个,256
257,gen4,更,,,更,257
258,pai2dui4,排队,,,排队,258
259,doi3 / den1,等,,,等,259
260,guong3cong2,广场,,,广场,260
261,sai4,晒,,,晒,261
262,sui1ien2,虽然,,,虽然,262
263,sai3,细,,,小,263
264,cun1li3poi4,村裡背,,,村里,264
265,gei1do1,几多,,,多少,265
